catalog,catalog_object_id,object_name,ls_id,ra,dec,type,release,brickid,objid,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,nobs_g,nobs_r,nobs_i,nobs_z,maskbits
DESI Legacy Surveys DR10,10995519151146510,LS DR10 10995519151146510,10995519151146510,188.4095501103362,9.170542452268432,PSF,10000,384210,1550,1.4479978,5.654087,9.4594145,12.270867,741.33813,251.56165,62.42144,105.40291,0.9408653,0.9597711,0.97025806,0.97729445,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146530,LS DR10 10995519151146530,10995519151146530,188.4101389925356,9.171141730388765,PSF,10000,384210,1570,0.5696063,0.58697665,0.57406783,0.8831662,633.72144,352.74228,66.86888,133.5801,0.94085896,0.95976675,0.97025484,0.97729194,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146627,LS DR10 10995519151146627,10995519151146627,188.4132564865993,9.169556801821829,SER,10000,384210,1667,23.49249,34.349598,42.73134,47.047882,77.60324,30.382027,15.046797,20.489176,0.9408921,0.9597895,0.97027177,0.97730494,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146611,LS DR10 10995519151146611,10995519151146611,188.4126256032564,9.170454905126494,PSF,10000,384210,1651,1.6911258,2.905683,6.3332753,6.9394994,546.47327,238.43642,54.716034,105.02017,0.9408773,0.9597794,0.9702642,0.97729915,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146624,LS DR10 10995519151146624,10995519151146624,188.4131291209145,9.17126993105173,PSF,10000,384210,1664,2.044121,2.6797805,4.557998,4.1574273,570.39417,245.67139,55.24823,107.39296,0.94086766,0.95977277,0.9702593,0.9772954,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146657,LS DR10 10995519151146657,10995519151146657,188.4145095086418,9.170875622084854,PSF,10000,384210,1697,6.7717767,6.7044926,12.719271,10.274998,312.00168,188.66098,50.06304,100.80382,0.94087803,0.95977986,0.9702646,0.97729945,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146605,LS DR10 10995519151146605,10995519151146605,188.4124188021012,9.171950208086194,PSF,10000,384210,1645,2.2113907,2.5275497,4.099103,3.5302336,544.2334,167.8039,57.56195,78.76647,0.9408557,0.95976454,0.97025317,0.9772907,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146674,LS DR10 10995519151146674,10995519151146674,188.4150791251818,9.171473277731797,EXP,10000,384210,1714,191.13521,276.92935,339.90198,366.45236,6.549442,2.2710567,1.1487474,1.4458964,0.9408717,0.9597755,0.97026134,0.97729695,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146675,LS DR10 10995519151146675,10995519151146675,188.4151887611455,9.17217325748253,PSF,10000,384210,1715,1.7313025,2.5389884,2.912059,2.4854186,464.54822,205.5914,52.72046,104.15636,0.9408623,0.95976907,0.97025657,0.97729325,3,3,2,4,4096
DESI Legacy Surveys DR10,10995519151146656,LS DR10 10995519151146656,10995519151146656,188.414453020053,9.173973928431156,SER,10000,384210,1696,12.47068,35.72724,49.304733,60.69886,88.96125,28.127937,14.227616,19.233818,0.9408345,0.95975,0.9702424,0.9772824,3,3,2,4,4096
